,precision,recall,f1-score,support
AtlanticSpottedDolphin,1.0,1.0,1.0,37.0
BeardedSeal,0.5428571428571428,0.8636363636363636,0.6666666666666666,22.0
Beluga_WhiteWhale,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
BottlenoseDolphin,0.8787878787878788,1.0,0.9354838709677419,29.0
Boutu_AmazonRiverDolphin,1.0,1.0,1.0,4.0
BowheadWhale,0.9433962264150944,0.819672131147541,0.8771929824561403,61.0
ClymeneDolphin,0.9607843137254902,1.0,0.98,49.0
CommonDolphin,0.984251968503937,0.9398496240601504,0.9615384615384616,133.0
Dall_sPorpoise,0.8888888888888888,1.0,0.9411764705882353,8.0
DuskyDolphin,0.8,1.0,0.8888888888888888,4.0
FalseKillerWhale,1.0,1.0,1.0,76.0
Fin_FinbackWhale,0.9887640449438202,1.0,0.9943502824858758,88.0
Fraser_sDolphin,0.967741935483871,1.0,0.9836065573770492,30.0
Grampus_Risso_sDolphin,1.0,0.9814814814814815,0.9906542056074766,54.0
GrayWhale,0.8,0.8,0.8,5.0
HarborPorpoise,1.0,1.0,1.0,7.0
HarpSeal,0.875,1.0,0.9333333333333333,7.0
Heaviside_sDolphin,1.0,1.0,1.0,2.0
HumpbackWhale,0.9565217391304348,0.967032967032967,0.9617486338797814,91.0
KillerWhale,0.9974747474747475,0.9949622166246851,0.9962168978562421,397.0
LeopardSeal,0.4,0.2857142857142857,0.3333333333333333,7.0
LongBeaked(Pacific)CommonDolphin,0.9,0.9,0.9,10.0
Long_FinnedPilotWhale,0.9072164948453608,0.967032967032967,0.9361702127659575,182.0
MelonHeadedWhale,0.8461538461538461,0.9166666666666666,0.88,24.0
MinkeWhale,1.0,1.0,1.0,3.0
Narwhal,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
NorthernRightWhale,0.9861111111111112,0.9726027397260274,0.9793103448275862,73.0
PantropicalSpottedDolphin,0.9868421052631579,0.967741935483871,0.9771986970684039,155.0
RibbonSeal,0.7777777777777778,1.0,0.875,7.0
RingedSeal,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
RossSeal,0.7916666666666666,0.8260869565217391,0.8085106382978723,23.0
Rough_ToothedDolphin,0.875,1.0,0.9333333333333333,14.0
Short_Finned(Pacific)PilotWhale,0.9680851063829787,0.978494623655914,0.9732620320855615,93.0
SouthernRightWhale,0.875,1.0,0.9333333333333333,7.0
SpermWhale,0.9640718562874252,0.8256410256410256,0.8895027624309392,195.0
SpinnerDolphin,0.872093023255814,0.9493670886075949,0.9090909090909091,79.0
SpottedSeal,1.0,1.0,1.0,3.0
StripedDolphin,0.9615384615384616,0.9803921568627451,0.970873786407767,102.0
TucuxiDolphin,1.0,1.0,1.0,2.0
Walrus,0.9487179487179487,0.9024390243902439,0.925,41.0
WeddellSeal,1.0,0.95,0.9743589743589743,20.0
WestIndianManatee,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
White_beakedDolphin,0.9789473684210527,0.8611111111111112,0.916256157635468,108.0
White_sidedDolphin,0.3333333333333333,1.0,0.5,6.0
accuracy,0.9467993079584776,0.9467993079584776,0.9467993079584776,0.9467993079584776
macro avg,0.8973900571387449,0.9355755229824957,0.910094336031235,2312.0
weighted avg,0.9533949903801648,0.9467993079584776,0.9481246677266427,2312.0
